업체명,사업자등록번호,주업종,주요 생산품목,소재지,전화번호
(주)용봉,4098612070,도매 및 소매업,도.소매,광주광역시 북구 저불로73번길 6-3앞쪽정문 (용봉동),062-266-4556
수창커튼,4100815875,도매 및 소매업,커튼 및 천막,광주광역시 서구 천변좌로 243양동 나2-51 (양동),062-368-9653
(주)고원공간정보,1238137487,전문 과학 및 기술 서비스업,측량,전라북도 전주시 덕진구 무삼지로 214층,063-243-0329
(주)기원전자,4038101231,그 밖의 제품 제조업,컨트롤러 센서 스위치 외 전장품,전라북도 익산시 보석로6길 109(신흥동 740-33),063-833-0111
(주)지정건설,5108122010,건설업,건설업,전라북도 전주시 완산구 선너머3길 9,063-273-9122
노나건축설비,2932500513,전기 가스 증기 및 수도사업,가스시공업상하수도공사업인테리어창호공사업,경기도 시흥시 수인로3335번길 14-1지층,031-404-6704
에스휴먼 주식회사,2148735623,사업시설관리 및 사업지원 서비스업,아웃소싱 컨설팅,경기도 평택시 서정북로 872층,031-668-9114
예진산업,1281473394,제조업,목재가구 및 부품,경기도 파주시 파평면 파산서원길 320나동,031-944-3040
이수공영,4059860516,보건업 및 사회복지 서비스업,장례및묘지관련용역,전라북도 익산시 오산면 선화2로 7676,070-7765-1117
(유)비엔에스테크,4028154910,건설업,정보통신공사,전라북도 완주군 상관면 춘향로 4845-20,063-241-6037
(주)선진이엔지,6078175558,전문 과학 및 기술 서비스업,전기 통신 소방 설비 정보시스템 설계 및 감리,부산광역시 해운대구 센텀동로 991308 (재송동 벽산이-센텀클래스원),051-782-7500
(주)성림이엔티,1218185305,운수업,운수업,인천광역시 미추홀구 아암대로287번길 21(학익동 102호),032-832-1451
(주)청주조경건설,3018183960,건설업,건설업 조경공사,충청북도 청주시 흥덕구 오송읍 오송생명3로 31102동 -1917호(두산위브센티움),043-239-8826
멋진여성,5676600149,도매 및 소매업|그 밖의 모든 업종|사업시설관리 및 사업지원 서비스업,건물청소서비스,서울특별시 영등포구 의사당대로 38102동 213호(여의도동 여의도더샵아일랜드파크),02-761-7482
백산광고사,3405000067,제조업,각종책자스티커팜플렛전단포스터카렌다,서울특별시 중구 을지로16길 5-31205호(을지로3가 우신빌딩),02-2268-5413
삼흥기계공사,1092962022,그 밖의 제품 제조업,실험실용배기기,인천광역시 서구 가정로38번길 10 (가좌동 제가동 1층 3호),032-582-0425
쓰리디월드,1120469732,제조업,시제품 제작 완구 전자 소품,경기도 부천시 부천로198번길 36101동 604,032-566-0316
유한회사 담아,7068100960,제조업,쇼핑백,전라북도 전주시 덕진구 구억명덕로 435,063-245-2255
주식회사 코담엔지니어링,1148635893,전문 과학 및 기술 서비스업,전기통신소방 설계및감리,서울 서초구 방배동830-3 고려빌딩 4층 402호,02-599-1248
피플디자인건축사사무소,1082261716,건축 기술 엔지니어링 및 기타 과학기술 서비스업,건축설계용역,서울특별시 강서구 마곡중앙5로1길 201213호(마곡동 마곡나루역보타닉비즈타워),070-4455-3145
대영산업,5050821961,고무제품 및 플라스틱제품 제조업,일반용폴리에틸렌관,경상북도 영천시 화산면 가일길 20-18,054-336-5574
벨로스주식회사,1288616065,가구 제조업,소파,경기도 남양주시 수동면 비룡로 654-12벨로스주식회사,031-594-5492
상부상조,3579000251,수리(修理) 및 기타 개인 서비스업,장의 분묘이장,경상북도 경주시 건천읍 단석로 1803-86,054-751-9666
예담,5539200246,수리(修理) 및 기타 개인 서비스업,장의 분묘이장,경상북도 경주시 건천읍 단석로 1803-86,054-751-9666
